Season,Soil,Water,Crop
Kharif,Black,Low,Millet
Kharif,Black,Medium,Cotton
Kharif,Black,High,Cotton
Kharif,Loamy,Low,Maize
Kharif,Loamy,Medium,Maize
Kharif,Loamy,High,Rice
Kharif,Sandy,Low,Millet
Kharif,Sandy,Medium,Groundnut
Kharif,Sandy,High,Maize
Kharif,Clay,Low,Maize
Kharif,Clay,Medium,Rice
Kharif,Clay,High,Rice
Kharif,Red,Low,Millet
Kharif,Red,Medium,Groundnut
Kharif,Red,High,Rice

Rabi,Black,Low,Gram
Rabi,Black,Medium,Wheat
Rabi,Black,High,Wheat
Rabi,Loamy,Low,Mustard
Rabi,Loamy,Medium,Wheat
Rabi,Loamy,High,Wheat
Rabi,Sandy,Low,Barley
Rabi,Sandy,Medium,Barley
Rabi,Sandy,High,Wheat
Rabi,Clay,Low,Wheat
Rabi,Clay,Medium,Wheat
Rabi,Clay,High,Wheat
Rabi,Red,Low,Gram
Rabi,Red,Medium,Wheat
Rabi,Red,High,Wheat

Zaid,Black,Low,Groundnut
Zaid,Black,Medium,Maize
Zaid,Black,High,Maize
Zaid,Loamy,Low,Vegetables
Zaid,Loamy,Medium,Vegetables
Zaid,Loamy,High,Sugarcane
Zaid,Sandy,Low,Groundnut
Zaid,Sandy,Medium,Watermelon
Zaid,Sandy,High,Vegetables
Zaid,Clay,Low,Maize
Zaid,Clay,Medium,Vegetables
Zaid,Clay,High,Sugarcane
Zaid,Red,Low,Groundnut
Zaid,Red,Medium,Vegetables
Zaid,Red,High,Sugarcane
